,year,month,day,cycle,trend
0,2013,1,20,-1.4988402336793483,
1,2013,1,21,-1.494735584651363,0.001405536965624954
2,2013,1,22,-1.4919991519660447,0.0014055369656247318
3,2013,1,23,-1.4878945029380592,0.0
4,2013,1,24,-1.4837898539100818,0.001405536965624954
5,2013,1,25,-1.4796852048821043,0.0014055369656247318
6,2013,1,26,-1.4769487721967782,0.001405536965624954
7,2013,1,27,-1.4728441231688008,0.0
8,2013,1,28,-1.4687394741408155,0.0014055369656327255
9,2013,1,29,-1.464634825112838,0.001405536965624954
10,2013,1,30,-1.461898392427512,0.0014055369656247318
11,2013,1,31,-1.4577937433995345,0.0
12,2013,2,1,-1.4550573107142162,0.001405536965624954
13,2013,2,2,-1.450952661686231,0.0014055369656247318
14,2013,2,3,-1.4482162290009126,0.0014055369656247318
15,2013,2,4,-1.4441115799729274,0.0
16,2013,2,5,-1.441375147287609,0.001405536965624954
17,2013,2,6,-1.4386387146022908,0.0014055369656327255
18,2013,2,7,-1.4345340655743055,0.0
19,2013,2,8,-1.4317976328889872,0.001405536965624954
20,2013,2,9,-1.429061200203669,0.0014055369656247318
21,2013,2,10,-1.4263247675183428,0.001405536965624954
22,2013,2,11,-1.4235883348330245,0.0
23,2013,2,12,-1.420851902147706,0.0014055369656247318
24,2013,2,13,-1.419483685805039,0.001405536965624954
25,2013,2,14,-1.4167472531197207,0.0014055369656327255
26,2013,2,15,-1.4140108204344024,0.0
27,2013,2,16,-1.4126426040917432,0.001405536965624954
28,2013,2,17,-1.411274387749084,0.0014055369656247318
29,2013,2,18,-1.408537955063758,0.001405536965624954
30,2013,2,19,-1.4071697387210989,0.0
31,2013,2,20,-1.4058015223784397,0.0014055369656247318
32,2013,2,21,-1.4044333060357805,0.001405536965624954
33,2013,2,22,-1.4030650896931214,0.0014055369656327255
34,2013,2,23,-1.4016968733504545,0.0
35,2013,2,24,-1.4003286570077953,0.001405536965624954
36,2013,2,25,-1.4003286570077953,0.0014055369656247318
37,2013,2,26,-1.3989604406651361,0.001405536965624954
38,2013,2,27,-1.397592224322477,0.0
39,2013,2,28,-1.397592224322477,0.0014055369656247318
40,2013,3,1,-1.3962240079798178,0.001405536965624954
41,2013,3,2,-1.3962240079798178,0.0014055369656327255
42,2013,3,3,-1.3962240079798178,0.0
43,2013,3,4,-1.3948557916371587,0.001405536965624954
44,2013,3,5,-1.3948557916371587,0.0014055369656247318
45,2013,3,6,-1.3948557916371587,0.0
46,2013,3,7,-1.3948557916371587,0.001405536965624954
47,2013,3,8,-1.3934875752944917,0.0014055369656247318
48,2013,3,9,-1.3934875752944917,0.0014055369656247318
49,2013,3,10,-1.3934875752944917,0.0
50,2013,3,11,-1.3934875752944917,0.001405536965624954
51,2013,3,12,-1.3934875752944917,0.0014055369656327255
52,2013,3,13,-1.3921193589518326,0.001405536965624954
53,2013,3,14,-1.3921193589518326,0.0
54,2013,3,15,-1.3921193589518326,0.0014055369656247318
55,2013,3,16,-1.3921193589518326,0.001405536965624954
56,2013,3,17,-1.3907511426091734,0.0014055369656247318
57,2013,3,18,-1.3907511426091734,0.0
58,2013,3,19,-1.3893829262665143,0.001405536965624954
59,2013,3,20,-1.3893829262665143,0.0014055369656327255
60,2013,3,21,-1.3880147099238551,0.0
61,2013,3,22,-1.3880147099238551,0.001405536965624954
62,2013,3,23,-1.386646493581196,0.0014055369656247318
63,2013,3,24,-1.385278277238529,0.001405536965624954
64,2013,3,25,-1.3839100608958699,0.0
65,2013,3,26,-1.3825418445532107,0.0014055369656247318
66,2013,3,27,-1.3811736282105516,0.001405536965624954
67,2013,3,28,-1.3798054118678924,0.0014055369656327255
68,2013,3,29,-1.377068979182574,0.0
69,2013,3,30,-1.3757007628399072,0.001405536965624954
70,2013,3,31,-1.3729643301545889,0.0014055369656247318
71,2013,4,1,-1.3715961138119297,0.0
72,2013,4,2,-1.3688596811266114,0.001405536965624954
73,2013,4,3,-1.3661232484412853,0.0014055369656247318
74,2013,4,4,-1.363386815755967,0.001405536965624954
75,2013,4,5,-1.3606503830706487,0.0
76,2013,4,6,-1.3579139503853226,0.0014055369656327255
77,2013,4,7,-1.3551775177000043,0.001405536965624954
78,2013,4,8,-1.3524410850146857,0.0014055369656247318
79,2013,4,9,-1.3483364359867005,0.0
80,2013,4,10,-1.3456000033013822,0.001405536965624954
81,2013,4,11,-1.341495354273397,0.0014055369656247318
82,2013,4,12,-1.3387589215880786,0.0
83,2013,4,13,-1.3346542725601012,0.001405536965624954
84,2013,4,14,-1.330549623532116,0.0014055369656247318
85,2013,4,15,-1.3264449745041385,0.0014055369656327255
86,2013,4,16,-1.3223403254761532,0.0
87,2013,4,17,-1.3182356764481757,0.001405536965624954
88,2013,4,18,-1.3141310274201905,0.0014055369656247318
89,2013,4,19,-1.310026378392213,0.0
90,2013,4,20,-1.307289945706887,0.001405536965624954
91,2013,4,21,-1.3031852966789095,0.0014055369656247318
92,2013,4,22,-1.2990806476509242,0.001405536965624954
93,2013,4,23,-1.2949759986229468,0.0
94,2013,4,24,-1.2908713495949615,0.0014055369656327255
95,2013,4,25,-1.2867667005669838,0.001405536965624954
96,2013,4,26,-1.2826620515389986,0.0
97,2013,4,27,-1.2785574025110211,0.0014055369656247318
98,2013,4,28,-1.2744527534830437,0.001405536965624954
99,2013,4,29,-1.2717163207977176,0.0014055369656247318
100,2013,4,30,-1.26761167176974,0.0
101,2013,5,1,-1.264875239084414,0.001405536965624954
102,2013,5,2,-1.2607705900564365,0.0014055369656327255
103,2013,5,3,-1.2580341573711182,0.0
104,2013,5,4,-1.2552977246857921,0.001405536965624954
105,2013,5,5,-1.2525612920004738,0.0014055369656247318
106,2013,5,6,-1.2498248593151555,0.001405536965624954
107,2013,5,7,-1.2470884266298294,0.0
108,2013,5,8,-1.2457202102871703,0.0014055369656247318
109,2013,5,9,-1.2443519939445111,0.001405536965624954
110,2013,5,10,-1.2416155612591928,0.0
111,2013,5,11,-1.2402473449165337,0.0014055369656327255
112,2013,5,12,-1.2402473449165337,0.001405536965624954
113,2013,5,13,-1.2388791285738667,0.0014055369656247318
114,2013,5,14,-1.2388791285738667,0.0
115,2013,5,15,-1.2388791285738667,0.001405536965624954
116,2013,5,16,-1.2388791285738667,0.0014055369656247318
117,2013,5,17,-1.2388791285738667,0.0
118,2013,5,18,-1.2388791285738667,0.001405536965624954
119,2013,5,19,-1.2402473449165337,0.0014055369656247318
120,2013,5,20,-1.2416155612591928,0.0
121,2013,5,21,-1.242983777601852,0.0014055369656327255
122,2013,5,22,-1.2457202102871703,0.001405536965624954
123,2013,5,23,-1.2470884266298294,0.0014055369656247318
124,2013,5,24,-1.2498248593151555,0.0
125,2013,5,25,-1.2525612920004738,0.001405536965624954
126,2013,5,26,-1.2566659410284513,0.0014055369656247318
127,2013,5,27,-1.2594023737137774,0.0
128,2013,5,28,-1.2635070227417549,0.001405536965624954
129,2013,5,29,-1.26761167176974,0.0014055369656327255
130,2013,5,30,-1.2730845371403767,0.0
131,2013,5,31,-1.277189186168362,0.001405536965624954
132,2013,6,1,-1.2826620515389986,0.0014055369656247318
133,2013,6,2,-1.2881349169096432,0.001405536965624954
134,2013,6,3,-1.2936077822802876,0.0
135,2013,6,4,-1.3004488639935912,0.0014055369656247318
136,2013,6,5,-1.3059217293642278,0.001405536965624954
137,2013,6,6,-1.3127628110775313,0.0
138,2013,6,7,-1.319603892790835,0.0014055369656327255
139,2013,6,8,-1.3278131908467976,0.001405536965624954
140,2013,6,9,-1.3346542725601012,0.0
141,2013,6,10,-1.3428635706160639,0.0014055369656247318
142,2013,6,11,-1.3497046523293597,0.001405536965624954
143,2013,6,12,-1.3579139503853226,0.0
144,2013,6,13,-1.3661232484412853,0.0014055369656247318
145,2013,6,14,-1.3757007628399072,0.001405536965624954
146,2013,6,15,-1.3839100608958699,0.0
147,2013,6,16,-1.3921193589518326,0.0014055369656327255
148,2013,6,17,-1.4016968733504545,0.001405536965624954
149,2013,6,18,-1.411274387749084,0.0014055369656247318
150,2013,6,19,-1.420851902147706,0.0
151,2013,6,20,-1.429061200203669,0.001405536965624954
152,2013,6,21,-1.4386387146022908,0.0014055369656247318
153,2013,6,22,-1.4482162290009126,0.0
