Date,S&P500
2014-05-12,
2014-05-13,0.0008430761504862883
2014-05-14,-0.009400299077922503
2014-05-15,-0.018631982925747748
2014-05-16,0.007387454768636337
2014-05-19,0.007608762258139112
2014-05-20,-0.012909603554321691
2014-05-21,0.01601844685923992
2014-05-22,0.004700149538961362
2014-05-23,0.008472915312387475
2014-05-27,0.011992758240667811
2014-05-28,-0.0022446902506698674
2014-05-29,0.01080191317810586
2014-05-30,0.0037306119659019643
2014-06-02,0.001475383263351171
2014-06-03,-0.0007693069873186964
2014-06-04,0.003835996484712778
2014-06-05,0.013257372466397355
2014-06-06,0.009463529789208724
2014-06-09,0.001928536694237426
2014-06-10,-0.000505845690291773
2014-06-11,-0.007271531797944375
2014-06-12,-0.014521986692126898
2014-06-13,0.006375763388052791
2014-06-16,0.0017072292047348725
2014-06-17,0.004436688241934217
2014-06-18,0.015797139369737367
2014-06-19,0.0026346129702696786
2014-06-20,0.0035725351876856326
2014-06-23,-0.00027399974890807144
2014-06-24,-0.013310064725802428
2014-06-25,0.010064221546430163
2014-06-26,-0.002434382384529199
2014-06-27,0.003941381003523592
2014-06-30,-0.0007693069873186964
2014-07-01,0.013794833512332128
2014-07-02,0.0013699987445403572
2014-07-03,0.01140260493532752
2014-07-07,-0.008209454015360329
2014-07-08,-0.014690601922224156
2014-07-09,0.009611068115543908
2014-07-10,-0.008588838283079214
2014-07-11,0.0030456125936315637
2014-07-14,0.010043144642668311
2014-07-15,-0.00402568861857211
2014-07-16,0.008736376609414398
2014-07-17,-0.02471266966113017
2014-07-18,0.02118228828096891
2014-07-21,-0.004837149413415176
2014-07-22,0.0104330673622679
2014-07-23,0.0036673812546155204
2014-07-24,0.001022229832464694
2014-07-25,-0.010159067613360273
2014-07-28,0.0006006917572216608
2014-07-29,-0.00944245288544665
2014-07-30,0.00012646142257266568
2014-07-31,-0.04152150041145086
2014-08-01,-0.0058172254383555
2014-08-04,0.01458521740341312
2014-08-05,-0.019791212632666255
2014-08-06,3.161535564322193e-05
2014-08-07,-0.011244528157111189
2014-08-08,0.023205671042135778
2014-08-11,0.0056169948526152425
2014-08-12,-0.003340689246302153
2014-08-13,0.013668372089759462
2014-08-14,0.008915530291392804
2014-08-15,-0.00012646142257310977
2014-08-18,0.017578137737639832
2014-08-19,0.010390913554743753
2014-08-20,0.005174379873609913
2014-08-21,0.006175532802312089
2014-08-22,-0.004183765396788219
2014-08-25,0.010032606190787163
2014-08-26,0.0022130748950266455
2014-08-27,0.00010538451881059174
2014-08-28,-0.0035619967358044846
2014-08-29,0.0069869935971551556
2014-09-02,-0.0011486912550375816
2014-09-03,-0.0016439984934482066
2014-09-04,-0.0032353047274911173
2014-09-05,0.01060168259236538
2014-09-08,-0.006502224810625901
2014-09-09,-0.013805371964213276
2014-09-10,0.007640377613782112
2014-09-11,0.0018547675310700562
2014-09-12,-0.012551296190365102
2014-09-15,-0.001485921715232097
2014-09-16,0.015649601043402184
2014-09-17,0.0027294590371993444
2014-09-18,0.010317144391576383
2014-09-19,-0.001011691380583546
2014-09-22,-0.01697744598041817
2014-09-23,-0.012140296567002995
2014-09-24,0.016366215771315584
2014-09-25,-0.03404973802776601
2014-09-26,0.01776782987149894
2014-09-29,-0.005321918199944875
2014-09-30,-0.005806686986474352
2014-10-01,-0.02753697476525918
2014-10-02,1.0538451880925948e-05
2014-10-03,0.022900055937584707
2014-10-06,-0.0032458431793724873
2014-10-07,-0.03132027899056666
2014-10-08,0.03560942890616592
2014-10-09,-0.04287042225222937
2014-10-10,-0.023268901753422222
2014-10-13,-0.03308020045470683
2014-10-14,0.0031193817567993776
2014-10-15,-0.01602898531112107
2014-10-16,0.0002845382007889974
2014-10-17,0.025292284514589536
2014-10-20,0.01817882949486127
2014-10-21,0.03927681016078122
2014-10-22,-0.014932986315489005
2014-10-23,0.024986669410038242
2014-10-24,0.014500909788364602
2014-10-27,-0.0031088433049180075
2014-10-28,0.024681054305486727
2014-10-29,-0.002898074267296824
2014-10-30,0.013014988073132727
2014-10-31,0.024659977401724653
2014-11-03,-0.0002529228451459975
2014-11-04,-0.00601745602409598
2014-11-05,0.012087604307597477
2014-11-06,0.008051377237144441
2014-11-07,0.0007482300835566225
2014-11-10,0.006681378492604084
2014-11-11,0.001496460167113245
2014-11-12,-0.001506998618994393
2014-11-13,0.0011381528031564336
2014-11-14,0.0005163841421729209
2014-11-17,0.0015807677821617627
2014-11-18,0.011044297571371153
2014-11-19,-0.0032458431793729314
2014-11-20,0.004246996108075107
2014-11-21,0.011328835772159929
2014-11-24,0.006228225061717385
2014-11-25,-0.0025081515476963467
2014-11-26,0.006112302091025423
2014-11-28,-0.0055537641413285765
2014-12-01,-0.014880294056083265
2014-12-02,0.013815910416094646
2014-12-03,0.008198915563479181
2014-12-04,-0.0025397669033400128
2014-12-05,0.0036357658989720765
2014-12-08,-0.015870908532904737
2014-12-09,-0.0005163841421726989
2014-12-10,-0.03549350593547396
2014-12-11,0.009684837278711278
2014-12-12,-0.034776891207560556
2014-12-15,-0.01338383388897002
2014-12-16,-0.017799445227142385
2014-12-17,0.04231188430253208
2014-12-18,0.05094287639313566
2014-12-19,0.00992722167197635
2014-12-22,0.008314838534171143
2014-12-23,0.003825458032831852
2014-12-24,-0.00030561510455129337
2014-12-26,0.007260993346063227
2014-12-29,0.0018969213385944261
2014-12-30,-0.01077029782246286
2014-12-31,-0.02260497928491434
2015-01-02,-0.0007376916316756965
2015-01-05,-0.039645655976618954
2015-01-06,-0.01893759803029882
2015-01-07,0.024544054431032913
